Model,Season,Score
Perfect Bracket,2016,192
Upset Finder Bracket,2016,119
Chalk Bracket,2016,87
FiveThirtyEight Bracket,2016,87
Perfect Bracket,2015,192
Upset Finder Bracket,2015,82
Chalk Bracket,2015,103
FiveThirtyEight Bracket,2015,82
Perfect Bracket,2014,192
Upset Finder Bracket,2014,86
Chalk Bracket,2014,71
FiveThirtyEight Bracket,2014,69
Perfect Bracket,2013,192
Upset Finder Bracket,2013,109
Chalk Bracket,2013,114
FiveThirtyEight Bracket,2013,0
Perfect Bracket,2012,192
Upset Finder Bracket,2012,102
Chalk Bracket,2012,120
FiveThirtyEight Bracket,2012,0
